CustomerID,FirstName,LastName,City,State,Country,PostalCode,Phone,Email,DateEntered
57081,James,Smith,New York,New York,United States,280862,9638483934,James.Smith@gmail.com,02/01/2020
57082,Robert,Downey Jr,New York,New York,United States,376573,6588282115,Robert.Downey Jr@gmail.com,06/01/2020
57083,John,Williams,Chicago,Illinois,United States,485629,7641021429,John.Williams@gmail.com,11/01/2020
57084,Michael,Johnson,Brisbane,Queensland,Australia,260866,7354232181,Michael.Johnson@gmail.com,16/01/2020
57085,Steve,Williams,Bremen,Bremen,Germany,740338,6285552036,Steve.Williams@gmail.com,17/01/2020
57086,David,Beckham,Villach,Carinthia,Austria,621492,7756781677,David.Beckham@gmail.com,20/01/2020
57087,Richard,Brown,San Antonio,Texas,United States,110945,8420993031,Richard.Brown@gmail.com,20/01/2020
57088,Joseph,James,Amsterdam,North Holland,Netherlands,186896,6691466381,Joseph.James@gmail.com,25/01/2020
57089,Thomas,Jones,Dallas,Texas,United States,174080,8024463594,Thomas.Jones@gmail.com,26/01/2020
57090,Charles,King,Warsaw,Masovian,Poland,589838,8498546902,Charles.King@gmail.com,27/01/2020
57091,Christopher,Garcia,Austin,Texas,United States,772795,9610580408,Christopher.Garcia@gmail.com,03/02/2020
57092,Daniel,Rensch,Dublin,Dublin,Ireland,189723,7947018222,Daniel.Rensch@gmail.com,03/02/2020
57093,Matthew,Miller,Brisbane,Queensland,Australia,901170,7764122382,Matthew.Miller@gmail.com,04/02/2020
57094,Anthony,James,Brussels,Brussels-Capital,Belgium,322713,9371469569,Anthony.James@gmail.com,07/02/2020
57095,Mark,Davis,Brussels,Brussels-Capital,Belgium,943158,8396048181,Mark.Davis@gmail.com,09/02/2020
57096,Donald,Rodriguez,Patras,Western Greece,Greece,127461,9919606399,Donald.Rodriguez@gmail.com,09/02/2020
57097,Steven,Smith,Braga,Braga,Portugal,531783,7287587361,Steven.Smith@gmail.com,10/02/2020
57098,Paul,Walker,Seattle,Washington,United States,427696,8892185286,Paul.Walker@gmail.com,11/02/2020
